"EMPLOYEE_NO","START_DATE_DATE","START_DATE_TIME","END_DATE_DATE","END_DATE_TIME","AIR_FARE","OTHER_TRANSPORTATION","ACCOMMODATION","MEALS","INCIDENTALS","SUBTOTAL","HOSPITALITY","OTHER_EXPENSES","TOTAL","DESTINATION","MINISTRY","POSITION","PURPOSE"
"1247","20100304","00:00:00","20100305","00:00:00",620.67,0.00,110.00,0.00,0.00,730.67,0.00,0.00,730.67,"Thunder Bay and Sudbury, ON","Northern Development and Mines","Deputy Minister","Travel to attend Executive Dialogues"
"1268","20100304","00:00:00","20100605","00:00:00",0.00,32.66,213.16,152.37,0.00,398.19,0.00,0.00,398.19,"Toronto, London, Windsor, Mississauga, ON","Economic Development","Staff to Minister","Minister's Driver's Travel Expense"
"1456","20100304","00:00:00","20100304","00:00:00",0.00,52.60,0.00,0.00,0.00,52.60,0.00,0.00,52.60,"Mississauga, ON","Economic Development","Staff to Minister","Travel to meetings with General Electric to discuss upcoming Alternative Manufac turing Summit"
"1111","20100305","00:00:00","20100305","00:00:00",0.00,6.00,0.00,0.00,0.00,6.00,0.00,0.00,6.00,"Scarborough, ON","Energy and Infrastructure","Minister","BOMA (Building Owners and Managers Association) Energy Conservation - Business D evelopment Breakfast event"
"1204","20100305","00:00:00","20100316","00:00:00",0.00,376.00,93.45,0.00,0.00,469.45,0.00,0.00,469.45,"Waterloo and Guelp ON","Agriculture, Food and Rural Affairs","Parliamentary Assistant","OMAFRA work (Ontario Turkey Farmers Association AGM, RED Panel, OMAFRA working b reakfast and tour of University of Guelph)"
"1236","20100307","00:00:00","20100519","00:00:00",583.78,86.50,359.34,47.86,0.00,1077.48,0.00,0.00,1077.48,"Toronto, ON","Northern Development and Mines","Staff to Minister","Prospectors and Developers Association of Canada (PDAC) conference 2010"
"1209","20100308","00:00:00","20100528","00:00:00",0.00,98.14,0.00,0.00,0.00,98.14,0.00,0.00,98.14,"Burlington, ON, Oakville, ON","Transportation","Chief Information Officer","Travel to Cluster Townhall and Planning Meetings"
"1247","20100309","00:00:00","20100505","00:00:00",0.00,44.00,0.00,0.00,0.00,44.00,0.00,0.00,44.00,"Toronto, ON","Northern Development and Mines","Deputy Minister","Routine expenses relating to the Ministry's operations for the months of March, April and May"
"1138","20100310","00:00:00","20100507","00:00:00",0.00,522.97,186.17,18.39,0.00,727.53,20.23,0.00,747.76,"Toronto and Waterloo, ON","Research and Innovation","Assistant Deputy Minister","Routine expenses related to the ministry's operations between March and May 2010 including one hospitality event."
"1241","20100311","00:00:00","20100318","00:00:00",4811.83,0.00,1674.01,99.61,8.31,6593.76,0.00,0.00,6593.76,"Israel and the West Bank","Office of the Premier","Staff to Minister","Advanced trip to prepare for Premier's Trade Mission to Israel and the West Bank ."
"1126","20100312","00:00:00","20100430","00:00:00",0.00,285.10,0.00,0.00,0.00,285.10,0.00,0.00,285.10,"St. Catharines, ON, Toronto, ON, Barrie, ON, Mississauga, ON, Innisfil, ON","Transportation","Assistant Deputy Minister","Routine expenses related to the ministry's operation for the month of April"
"1003","20100313","00:00:00","20100313","00:00:00",0.00,77.11,0.00,0.00,0.00,77.11,0.00,0.00,77.11,"Wingham, ON","Office of the Premier","Staff to Minister","Provided media support to Premier at funeral service for fallen police officer"
"1473","20100313","00:00:00","20100422","00:00:00",0.00,170.33,0.00,20.39,65.57,256.29,0.00,0.00,256.29,"London, ON","Office of the Premier","Staff to Minister","Provided operational support to Premier at government roundtable with water and education stakeholders"
"1201","20100315","00:00:00","20100415","00:00:00",0.00,12.00,0.00,0.00,0.00,12.00,0.00,0.00,12.00,"Ottawa, ON","Education","Staff to Minister","Attended Stakeholder Meeting and AGM in Ottawa"
"1272","20100315","00:00:00","20100315","00:00:00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,22.50,22.50,"Toronto,ON","Labour","Assistant Deputy Minister","Business Meeting in Toronto"
"1027","20100317","00:00:00","20100317","00:00:00",0.00,74.62,0.00,0.00,0.00,74.62,0.00,0.00,74.62,"Ipperwash, ON","Aboriginal Affairs","Minister","Meeting with Chief and Council and tour of Kettle and Stony Point First Nation"
"1360","20100318","00:00:00","20100322","00:00:00",0.00,81.72,119.90,12.15,68.60,282.37,0.00,0.00,282.37,"Windsor, On","Economic Development","Staff to Minister","Staffed Minister Pupatello at the launch event of Ontario's International Aerosp ace Symposium."
"1360","20100322","00:00:00","20100324","00:00:00",586.27,261.00,427.16,233.93,119.46,1627.82,0.00,0.00,1627.82,"Edmonton, AB","Economic Development","Staff to Minister","Staffed Minister Pupatello at the Oil Sands national Buyer-Seller Forum."
"1443","20100322","00:00:00","20100323","00:00:00",596.80,190.00,111.87,53.28,0.00,951.95,0.00,0.00,951.95,"Toronto, ON","Northern Development and Mines","Assistant Deputy Minister","Terrace Bay Pulp Mtg/Ministerial Briefings (Toronto) - March 22-23 2010"
"1445","20100322","00:00:00","20100513","00:00:00",0.00,21.00,0.00,0.00,0.00,21.00,0.00,0.00,21.00,"Toronto, ON","Economic Development and Trade","Deputy Minister","Routine expenses related to the ministry's operations for the months of March an d April"
"1424","20100323","00:00:00","20100616","00:00:00",0.00,17.50,0.00,0.00,0.00,17.50,0.00,0.00,17.50,"Toronto, ON","Health and Long Term Care","Assistant Deputy Minister","Routine Expenses for the month of March and June 2010"
"1369","20100324","00:00:00","20100518","00:00:00",0.00,16.00,0.00,0.00,0.00,16.00,0.00,0.00,16.00,"Toronto, ON","Health and Long Term Care","Deputy Minister","Routine expenses related to the ministry's operations for the months of March an d May"
"1094","20100325","00:00:00","20100325","00:00:00",0.00,101.20,0.00,39.50,0.00,140.70,0.00,0.00,140.70,"Atwood, ON","Revenue","Parliamentary Assistant","Spoke on behalf of the Minister of Revenue at the Builder's Forum 2010"
"1410","20100325","00:00:00","20100325","00:00:00",0.00,0.00,127.60,0.00,0.00,127.60,0.00,0.00,127.60,"North Bay, ON","Cabinet Office","Minister","Minister paid for hotel stay for her driver/staff member."
"1003","20100326","00:00:00","20100328","00:00:00",481.18,48.50,0.00,22.60,0.00,552.28,0.00,0.00,552.28,"Ottawa, ON","Office of the Premier","Staff to Minister","Provided media support to Premier at visit to new chemistry lab at Carleton Univ ersity"
"1090","20100326","00:00:00","20100429","00:00:00",0.00,38.00,96.79,0.00,0.00,134.79,25.07,20.00,179.86,"North Bay, ON","Community Safety and Correctional Services","Commissioner - Community Safety","Routine expenses related to the ministry's operations for the months of March an d April 2010"
"1099","20100326","00:00:00","20100526","00:00:00",463.67,119.82,0.00,0.00,0.00,583.49,0.00,0.00,583.49,"Ottawa,Toronto,Kingston, ON","Community and Social Services","Staff to Minister","Accompained the Minister at meeting and event in Toronto and Kingston"
"1247","20100326","00:00:00","20100327","00:00:00",449.83,0.00,130.90,0.00,0.00,580.73,0.00,0.00,580.73,"North Bay, ON","Northern Development and Mines","Deputy Minister","Travel for meeting with the Ontario Northland Transportation Commission."
"1084","20100327","00:00:00","20100422","00:00:00",0.00,30.00,0.00,0.00,0.00,30.00,0.00,0.00,30.00,"Toronto, ON","Education","Deputy Minister","Routine expenses related to the ministry's operations for the month of March and April"
"1041","20100329","00:00:00","20100330","00:00:00",0.00,87.30,124.95,0.00,0.00,212.25,0.00,0.00,212.25,"London, ON","Health Promotion","Associate Chief Medical Officer of Health","Food & Health Workshop"
"1092","20100329","00:00:00","20100430","00:00:00",0.00,0.00,311.88,152.27,0.00,464.15,0.00,0.00,464.15,"Toronto, ON","Natural Resources","Assistant Deputy Minister","Travel for HR Meetings and for regular meetings with Minister and other senior s taff."
"1153","20100329","00:00:00","20100330","00:00:00",0.00,134.25,130.90,0.00,0.00,265.15,0.00,0.00,265.15,"London, ON","Health Promotion","Staff to Minister","Attended and participated in the Ivey Spencer Leadership Centre Food and Health Workshop."
"1158","20100329","00:00:00","20100329","00:00:00",0.00,0.00,0.00,68.48,0.00,68.48,0.00,0.00,68.48,"Toronto, ON","Northern Development and Mines","Minister","Stakeholder Meeting with De Beers Canada"
"1160","20100329","00:00:00","20100409","00:00:00",278.53,95.20,146.90,0.00,0.00,520.63,0.00,0.00,520.63,"Ottawa, ON","Education","Assistant Deputy Minister","Ottawa Children's Inuit Centre and Success By Six"
"1272","20100329","00:00:00","20100331","00:00:00",0.00,356.35,0.00,0.00,0.00,356.35,0.00,0.00,356.35,"Toronto, ON","Labour","Assistant Deputy Minister","Travel Cost for Executive Training"
"1389","20100329","00:00:00","20100618","00:00:00",0.00,80.46,0.00,0.00,0.00,80.46,0.00,0.00,80.46,"Toronto, ON","Revenue","Assistant Deputy Minister","Tobacco Strategy Advisory Group meetings and Chiefs of Ontario Meeting"
"1421","20100329","00:00:00","20100331","00:00:00",0.00,0.00,0.00,0.00,0.00,0.00,103.40,0.00,103.40,"Toronto, ON","Government Services","Deputy Minister","2 lunch meetings with stakeholders"
"1473","20100329","00:00:00","20100406","00:00:00",0.00,111.96,0.00,5.07,54.35,171.38,0.00,0.00,171.38,"Peterborough, ON","Office of the Premier","Staff to Minister","Advanced trip & accompanied the Premier to Peterborough for a Government event."
"1481","20100329","00:00:00","20100330","00:00:00",0.00,0.00,118.80,5.27,0.00,124.07,0.00,0.00,124.07,"London, ON","Agriculture, Food and Rural Affairs","Deputy Minister","Travel for Food and Health: Advancing the Policy Agenda Workshop."
"1007","20100330","00:00:00","20100428","00:00:00",0.00,233.20,0.00,0.00,0.00,233.20,0.00,0.00,233.20,"Toronto, ON","Revenue","Assistant Deputy Minister","Travel for meetings"
"1185","20100330","00:00:00","20100429","00:00:00",0.00,390.00,0.00,47.37,0.00,437.37,0.00,0.00,437.37,"Toronto, ON","Agriculture, Food and Rural Affairs","Assistant Deputy Minister","Travel for Ministry Operational Meetings"
"1194","20100330","00:00:00","20100420","00:00:00",0.00,118.53,485.66,78.70,0.00,682.89,0.00,0.00,682.89,"Toronto, ON","Natural Resources","Assistant Deputy Minister","Travel for regular briefings and meetings in Toronto"
"1423","20100330","00:00:00","20100330","00:00:00",0.00,0.00,0.00,0.00,0.00,0.00,5.19,0.00,5.19,"Toronto, ON","Aboriginal Affairs","Deputy Minister","Meeting with Stakeholder. Includes 1 hospitality event."
"1469","20100330","00:00:00","20100330","00:00:00",0.00,43.40,0.00,7.45,0.00,50.85,0.00,0.00,50.85,"Mississauga, ON","Labour","Assistant Deputy Minister","Travel for Meeting - Occupational Health and Safety Council of Ontario (OHSCO)"
"1292","20100331","00:00:00","20100504","00:00:00",0.00,0.00,0.00,0.00,0.00,0.00,87.28,0.00,87.28,"Toronto, ON","Government Services","Deputy Minister","2 Hospitality Meals"
"1403","20100331","00:00:00","20100331","00:00:00",0.00,109.60,0.00,0.00,0.00,109.60,0.00,0.00,109.60,"Niagara On The Lake","Energy and Infrastructure","Assistant Deputy Minister","Travel to attend VQA Board Meeting"
"1152","20100401","00:00:00","20100512","00:00:00",0.00,113.00,0.00,26.93,0.00,139.93,0.00,0.00,139.93,"Toronto, ON","Transportation","Assistant Deputy Minister","Operational expenses for travel to Queen's Park for April & May 2010"
"1209","20100401","00:00:00","20100527","00:00:00",0.00,261.50,0.00,0.00,0.00,261.50,0.00,0.00,261.50,"St. Catharines, ON","Transportation","Chief Information Officer","Routine expenses related to ministry operations April, May 2010"
"1212","20100401","00:00:00","20100415","00:00:00",2896.33,502.71,1417.06,132.19,0.00,4948.29,0.00,0.00,4948.29,"Toronto, ON, Ottawa, ON, Peterborough, ON","Natural Resources","Assistant Deputy Minister","Travel from Sault Ste Marie for 7 Ministry Business Meetings and 1 Science Partn ership Meeting."
"1256","20100401","00:00:00","20100507","00:00:00",0.00,369.19,0.00,43.92,0.00,413.11,0.00,0.00,413.11,"Toronto, ON","Natural Resources","Assistant Deputy Minister","Routine Expenses related to ministry operations for the months of April and May."
"1389","20100401","00:00:00","20100419","00:00:00",900.48,186.67,0.00,0.00,0.00,1087.15,0.00,0.00,1087.15,"Ottawa, Toronto ON","Revenue","Assistant Deputy Minister","Meetings with two stakeholder groups"
"1389","20100401","00:00:00","20100419","00:00:00",0.00,186.67,0.00,0.00,0.00,186.67,0.00,0.00,186.67,"Ottawa, Toronto ON","Revenue","Assistant Deputy Minister","Meeting with two stakeholder groups"
"1441","20100401","00:00:00","20100413","00:00:00",578.35,140.80,320.92,16.41,0.00,1056.48,0.00,0.00,1056.48,"Ottawa, ON","Transportation","Assistant Deputy Minister","Travel to Policy & Planning Support Committee (PPSC) & Council of Deputy Minist ers"
"1467","20100401","00:00:00","20100401","00:00:00",0.00,87.00,0.00,0.00,0.00,87.00,0.00,0.00,87.00,"Elliott Lake, On","Aboriginal Affairs","Staff to Minister","Travel to Serpent River First Nation to meet with Chief Isadore Day, community v isit and participate on panel discussion"
"1096","20100402","00:00:00","20100511","00:00:00",0.00,4.00,0.00,16.22,0.00,20.22,0.00,0.00,20.22,"Mississauga, ON","Labour","Assistant Deputy Minister","Travel for Meetings - Occcupational Health and Safety Council of Ontario (OHSCO) and Stakeholders"
"1421","20100404","00:00:00","20100407","00:00:00",371.78,236.95,494.94,15.50,0.00,1119.17,0.00,0.00,1119.17,"Ottawa, ON","Government Services","Deputy Minister","Travel to Taking the Lead Event"
"1013","20100405","00:00:00","20100406","00:00:00",0.00,57.99,0.00,0.00,29.24,87.23,0.00,0.00,87.23,"Peterborough, ON","Office of the Premier","Staff to Minister","To provide Technical Support for Premier and staff at Peteborough Family Health Team Clinic"
"1068","20100405","00:00:00","20100406","00:00:00",400.32,124.50,168.37,35.08,0.00,728.27,0.00,0.00,728.27,"Ottawa, ON","Training, Colleges and Universities","Staff to Minister","Accompanied the Minister on Ottawa Tour: Meeting with Saudi Arabian Government; Meeting with La Cite Collegiale; and Announcement at University of Ottawa."
"1308","20100405","00:00:00","20100406","00:00:00",468.91,0.00,174.02,0.00,0.00,642.93,0.00,0.00,642.93,"Ottawa, ON","Training, Colleges and Universities","Minister","Ottawa Tour: Meeting with Saudi Arabian Government; Meeting with La Cite Collegi ale; Announcement at University of Ottawa; Meeting with BIOTE Canada; and Roundt able with the Alliance of Sector Councils."
"1003","20100406","00:00:00","20100406","00:00:00",0.00,12.00,0.00,0.00,0.00,12.00,0.00,0.00,12.00,"Peterborough, ON","Office of the Premier","Staff to Minister","Accompanied Premier and provided media support at tour of the Peterborough Clini c"
"1032","20100406","00:00:00","20100407","00:00:00",559.35,0.00,202.27,64.54,0.00,826.16,0.00,0.00,826.16,"Ottawa, Petawawa, Pembroke, Renfrew, ON","Government Services","Staff to Minister","Accompanied Minister on visit to Service Ontario Centres, and the Supply Ontario Reverse Trade Show/Vendor Issues Forum"
"1112","20100406","00:00:00","20100408","00:00:00",1165.72,0.00,717.72,0.00,0.00,1883.44,0.00,0.00,1883.44,"New York City, US","Finance","Minister","Investor Relations initiative to New York City; Minister met with institutional bond investors and representatives of the financial community in support of the Province's borrowing program"
"1141","20100406","00:00:00","20100430","00:00:00",0.00,0.00,456.78,44.51,0.00,501.29,0.00,0.00,501.29,"St. Catharines, ON, London, ON","Transportation","Assistant Deputy Minister","Travel for Ministry Operational Meetings"
"1241","20100406","00:00:00","20100407","00:00:00",0.00,92.24,0.00,0.00,15.67,107.91,0.00,0.00,107.91,"Mississauga, ON","Office of the Premier","Staff to Minister","Advanced trip for Infrastructure announcement with the Prime Minister."
"1247","20100406","00:00:00","20100406","00:00:00",0.00,0.00,0.00,0.00,0.00,0.00,61.68,0.00,61.68,"Toronto, ON","Northern Development and Mines","Deputy Minister","Meeting with stakeholders."
"1282","20100406","00:00:00","20100406","00:00:00",0.00,119.04,0.00,0.00,0.00,119.04,0.00,22.50,141.54,"Ottawa, ON","Community Safety and Correctional Services","Chief Coroner","Meeting with stakeholder"
"1398","20100406","00:00:00","20100406","00:00:00",0.00,77.49,0.00,0.00,0.00,77.49,0.00,0.00,77.49,"Kingston","Environment","Staff to Minister","Accompanied Minister to Ministry meetings on SLH Transport and Waste Management"
"1404","20100406","00:00:00","20100408","00:00:00",501.09,0.00,693.22,0.00,0.00,1194.31,0.00,0.00,1194.31,"New York, USA","Finance","Staff to Minister","Accompanied Minister Duncan to New York, USA for Investor Relations Tour after S pring Budget 2010."
"1429","20100406","00:00:00","20100407","00:00:00",605.43,0.00,202.27,0.00,0.00,807.70,0.00,0.00,807.70,"Ottawa, Petawawa, Pembroke, Renfrew, ON","Government Services","Minister","Visit of Service Ontario Centres, Supply Ontario Reverse Trade Show/Vendor Issue s Forum"
"1441","20100406","00:00:00","20100630","00:00:00",0.00,142.15,0.00,0.00,0.00,142.15,0.00,0.00,142.15,"St. Catharines, ON, North York,ON, Toronto,ON","Transportation","Assistant Deputy Minister","Operational expenses for April to June for meetings"
"1453","20100406","00:00:00","20100408","00:00:00",541.09,0.00,693.22,7.67,0.00,1241.98,0.00,0.00,1241.98,"Newark, NJ , New York, NY, United States","Finance","Deputy Minister","Travel for Minister's Post Budget Investor Relations Meeting"
"1003","20100407","00:00:00","20100407","00:00:00",0.00,0.00,117.52,0.00,0.00,117.52,0.00,0.00,117.52,"Cornwall, ON","Office of the Premier","Staff to Minister","Provided media support at Premier's clean energy announcement"
"1013","20100407","00:00:00","20100409","00:00:00",0.00,91.98,117.52,6.78,75.93,292.21,0.00,0.00,292.21,"Cornwall, ON","Office of the Premier","Staff to Minister","Provide tech support for Premier and staff at Feed in Tariff Announcement."
"1013","20100407","00:00:00","20100407","00:00:00",0.00,45.99,0.00,0.00,0.00,45.99,0.00,0.00,45.99,"Mississauga, ON","Office of the Premier","Staff to Minister","Provide Tech support for Premier Staff at Transportation Announcement"
"1022","20100407","00:00:00","20100408","00:00:00",0.00,0.00,117.52,46.00,0.00,163.52,0.00,0.00,163.52,"St.Andrews West, ON","Office of the Premier","Staff to Minister","Provided operational support to the Premier at the Feed-in-Tariff Announcement"
"1027","20100407","00:00:00","20100407","00:00:00",0.00,0.00,165.90,0.00,0.00,165.90,0.00,0.00,165.90,"Moosonee","Aboriginal Affairs","Minister","Meeting with Moose Cree First Nation Chief Hardisty and council. Participated in a Justice roundtable and funding announcement. Meeting with Chief of Mocrebec C ouncil of the Cree Nation"
"1103","20100407","00:00:00","20100420","00:00:00",0.00,83.39,0.00,0.00,0.00,83.39,0.00,0.00,83.39,"Orillia, Toronto, ON","Community Safety and Correctional Services","Chief Information Officer","Business meetings with government staff."
"1139","20100407","00:00:00","20100430","00:00:00",387.82,208.80,140.65,0.00,0.00,737.27,0.00,0.00,737.27,"Toronto, Mississauga and Sudbury, ON","Education","Assistant Deputy Minister","Speaking Engagements"
"1180","20100407","00:00:00","20100616","00:00:00",0.00,233.80,0.00,0.00,0.00,233.80,0.00,0.00,233.80,"Toronto, ON","Revenue","Assistant Deputy Minister","Routine expenses related to ministry's operations for the months of April, May a nd June."
"1214","20100407","00:00:00","20100518","00:00:00",0.00,46.00,0.00,0.00,0.00,46.00,0.00,10.17,56.17,"Toronto, ON","Community and Social Services","Chief Information Officer","Monthly expenses to travel to satellite offices for April and May"
"1259","20100407","00:00:00","20100407","00:00:00",276.34,70.58,0.00,11.96,0.00,358.88,0.00,0.00,358.88,"Ottawa, ON","Government Services","Assistant Deputy Minister","Travel to Supply Ontario Reverse Trade Show"
"1261","20100407","00:00:00","20100407","00:00:00",362.98,56.92,0.00,0.00,0.00,419.90,0.00,0.00,419.90,"Ottawa, ON","Government Services","Staff to Minister","Accompanied Minister at the Supply Ontario Reverse Trade Show/Vendor Issues Foru m"
"1292","20100407","00:00:00","20100407","00:00:00",511.85,114.00,0.00,0.00,0.00,625.85,0.00,0.00,625.85,"Ottawa, ON","Government Services","Deputy Minister","Travel to Supply Ontario Trade Show"
