Posição;Município;População
370;Sapiranga;77282
371;Canindé;76873
372;Cruzeiro do Sul;76392
373;Pinheiro;76391
374;Três Rios;75754
375;Santo Ângelo;75627
376;São Bento do Sul;75543
377;Nova Lima;75530
378;Francisco Beltrão;75517
379;Senhor do Bonfim;75393
380;Senador Canedo;75297
381;Valença;74993
382;Crateús;74904
383;Três Corações;74859
384;Ponta Porã;74601
385;João Monlevade;74576
386;Gravatá;74548
387;Alfenas;74505
388;Curvelo;74409
389;São Cristóvão;74189
390;Goiana;74182
391;Ipojuca;74059
392;Campo Limpo Paulista;73885
393;Serrinha;73655
394;Belo Jardim;73590
395;Gurupi;73548
396;Viçosa;73362
397;Quixeramobim;72951
398;Jaboticabal;72614
399;Lins;72568
400;Picos;72477
401;São Sebastião;72236
402;Palmeira dos Índios;72202
403;Itapira;71850
404;Santa Luzia;71314
405;Lajeado;71111
406;Pirassununga;70912
407;Aquiraz;70439
408;Caçador;70088
409;Pacatuba;70018
410;Cataguases;69955
411;Concórdia;69766
412;Chapadinha;69734
413;Tailândia;69581
414;Pato Branco;69478
415;Ouro Preto;69251
416;Aracati;68886
417;Telêmaco Borba;68584
418;Mococa;68481
419;Vilhena;68405
420;Janaúba;67941
421;Saquarema;67853
422;Carpina;67727
423;Castro;67708
424;São Roque;67669
425;Tianguá;67663
426;Cianorte;67637
427;Campo Formoso;67582
428;Itamaraju;67517
429;Arcoverde;67458
430;Ceará-Mirim;67416
431;Rio Largo;67359
432;Januária;67206
433;Moju;67195
434;Ibiúna;67166
435;Venâncio Aires;67136
436;Coari;67055
437;Russas;67023
438;Cascavel;67002
439;Formiga;66834
440;Redenção;66762
441;Ouricuri;66077
442;Santa Rosa;66015
443;Caldas Novas;65970
444;Itapetinga;65904
445;Casa Nova;65747
446;Sousa;65568
447;Amparo;65466
448;Icó;65377
449;Macaíba;65361
450;Irecê;65310
451;Nova Serrana;65176
452;Bom Jesus da Lapa;65148
453;Cruz Alta;64762
454;Tefé;64703
455;Brumado;64417
456;São Sebastião do Paraíso;64250
457;São Félix do Xingu;64223
458;Tupã;64078
459;Pesqueira;63878
460;Capanema;63799
461;Monte Alegre;63543
462;Buriticupu;63466
463;Fernandópolis;63414
464;Conceição do Coité;63318
465;Morada Nova;63296
466;São Borja;63257
467;Estância;63206
468;Farroupilha;62674
469;Lençóis Paulista;62594
470;Camaquã;62556
471;Cajamar;62522
472;Caicó;62497
473;Coroatá;62442
474;União dos Palmares;62395
475;Vacaria;62370
476;Vinhedo;62240
477;Escada;62163
478;Piripiri;61975
479;Embu-Guaçu;61701
480;Ipirá;61439
481;Itaberaba;61302
482;Camocim;60784
483;Penedo;60750
484;Viana;60191
485;Carazinho;60182
486;São Gabriel;59454
487;Rio do Sul;59236
488;Penápolis;59183
489;Araranguá;59134
490;Montenegro;59110
491;Campo Bom;58915
492;Euclides da Cunha;58746
493;Pedro Leopoldo;58635
494;Palmares;58584
495;Bezerros;58310
496;Esmeraldas;58307
497;Pacajus;58281
498;Cosmópolis;57951
499;Santo Antônio do Descoberto;57908
500;Sorriso;57799
501;Oriximiná;57765
502;Floriano;57700
503;Santo Amaro;57675
504;Cajazeiras;57627
505;Ponte Nova;57482
506;Limoeiro;57203
507;Peruíbe;57151
508;Cruz das Almas;56766
509;Igarapé-Miri;56639
510;Dias d'Ávila;56600
511;Cachoeiras de Macacu;56529
512;Andradina;56505
513;Içara;56360
514;Camboriú;56315
515;Itapecuru Mirim;56241
516;Surubim;56238
517;Tauá;56202
518;Goianésia;56169
519;Irati;56143
520;Batatais;56022
521;Grajaú;55833
522;Rolândia;55750
523;Boa Viagem;55728
524;Guarabira;55704
525;Navegantes;55691
526;Alenquer;55688
527;Canguçu;55679
528;Viçosa do Ceará;55670
529;Biguaçu;55665
530;Limoeiro do Norte;55539
531;Taquaritinga;55372
532;Taquara;55270
533;Viseu;55144
534;Salgueiro;55119
535;Moreno;55102
536;Registro;55081
537;Barra do Garças;54882
538;São Francisco;54846
539;Gaspar;54687
540;Rio Bonito;54596
541;Jacundá;54513
542;Novo Repartimento;54506
543;Santa Isabel do Pará;54464
544;Canoinhas;54408
545;Mirassol;54350
546;Acaraú;54257
547;Frutal;54094
548;Araci;54092
549;Mariana;53989
550;Jaru;53955
551;Três Pontas;53901
552;Monte Santo;53577
553;Granja;53486
554;Pirapora;53433
555;Campo Belo;53280
556;São Miguel dos Campos;53070
557;União da Vitória;53048
558;São José do Rio Pardo;53025
559;Santana do Araguaia;52856
560;Açu;52824
561;Mafra;52697
562;Coruripe;52584
563;Ibitinga;52582
564;Capitão Poço;52557
565;Barbalha;52496
566;Horizonte;52488
567;Buíque;52466
568;Timbaúba;52291
569;Atalaia;51903
570;Leopoldina;51452
571;Cidade Ocidental;51303
572;Laguna;51282
573;Alta Floresta;51136
574;Santiago;51088
575;Cabedelo;51064
576;Parobé;51036
577;Itararé;51000
578;Porto Ferreira;50791
579;Trairi;50788
580;Prudentópolis;50614
581;Acopiara;50485
582;Catu;50470
583;Breu Branco;50400
584;Rolim de Moura;50249
585;Olímpia;50215
586;Tucano;49972
587;Indaial;49959
588;Barra;49705
589;Jales;49681
590;Piedade;49607
591;Guaxupé;49509
592;Barreirinhas;49398
593;São Bento do Una;49038
594;Ribeira do Pombal;49024
595;Luís Eduardo Magalhães;48977
596;Viana;48907
597;Acará;48878
598;Maués;48808
599;Tobias Barreto;48733
600;Guapimirim;48688
601;Tomé-Açu;48522
602;Cornélio Procópio;48427
603;Óbidos;48287
604;Beberibe;48201
605;Nova Odessa;48170
606;Jaguaquara;48097
607;Congonhas;48066
608;Delmiro Gouveia;47991
609;Macaúbas;47991
610;Portel;47967
611;Caetité;47774
612;Porto Feliz;47774
613;Tutóia;47733
614;Sapé;47690
615;Mineiros;47500
616;Paudalho;47337
617;Lagoa Santa;47287
618;Xique-Xique;47251
619;São Francisco de Itabapoana;47247
620;Santos Dumont;47240
621;Rondon do Pará;47074
622;Ibiporã;47052
623;Tabatinga;47051
624;Itapagé;46989
625;Conceição do Araguaia;46916
626;Campo Alegre;46671
627;Santa Isabel;46645
628;Porto Nacional;46598
629;Marechal Deodoro;46565
630;Inhumas;46555
631;Marechal Cândido Rondon;46523
632;Capão Bonito;46412
633;Santo Estêvão;46360
634;Campos do Jordão;46332
635;Primavera do Leste;46311
636;Bocaiúva;46306
637;Zé Doca;46290
638;Lagoa da Prata;46276
639;Aquidauana;46266
640;Mombaça;46252
641;Poções;46224
642;Diamantina;46212
643;Videira;46157
644;Nova Venécia;46080
645;Manicoré;45996
646;Capivari;45915
647;Campo Maior;45827
648;Monte Carmelo;45819
649;Monte Mor;45811
650;São Joaquim da Barra;45782
651;Monte Alto;45719
652;Vigia;45680
653;Benevides;45616
654;Coelho Neto;45343
655;Bom Conselho;44991
656;Nova Andradina;44971
657;São Benedito;44929
658;Santa Quitéria;44864
659;João Pinheiro;44834
660;Naviraí;44828
661;Vargem Grande;44648
662;Paracambi;44629
663;Barras;44574
664;São Miguel do Guamá;44532
665;Paraguaçu Paulista;44249
666;Rio Negrinho;44023
667;Livramento de Nossa Senhora;43994
668;Dracena;43989
669;Boituva;43959
670;Lago da Pedra;43947
671;Bom Despacho;43898
672;Mauriti;43871
673;Ipiaú;43749
674;Vargem Grande Paulista;43664
675;Maragogipe;43620
676;Santana do Ipanema;43527
677;Barreiros;43502
678;São Lourenço do Sul;43451
679;Garça;43395
680;Mairinque;43349
681;Currais Novos;43315
682;Itabirito;43314
683;Mongaguá;43284
684;Santa Cruz do Rio Pardo;43279
685;Estância Velha;43123
686;Bertioga;42945
687;Lapa;42906
688;Tramandaí;42863
689;União;42859
690;Pederneiras;42661
691;Palmas;42643
692;Ipixuna do Pará;42636
693;Artur Nogueira;42567
694;Itupiranga;42332
695;São Gonçalo do Amarante;42311
696;São Lourenço;42185
697;Espírito Santo do Pinhal;42128
698;Santo Antônio de Pádua;42093
699;Pedra Branca;42055
700;Seabra;41952
701;Brejo da Madre de Deus;41898
702;Santo Antônio da Platina;41844
703;Cabreúva;41839
704;Xanxerê;41766
705;Santa Maria da Vitória;41745
706;Rosário do Sul;41715
707;São Sebastião do Passé;41624
708;Paraíso do Tocantins;41500
709;Teotônio Vilela;41498
710;Mamanguape;41406
711;Nanuque;41389
712;Santa Maria da Boa Vista;41329
713;Paraíba do Sul;41315
714;Barra de São Francisco;41301
715;Rio Grande da Serra;41215
716;Presidente Dutra;41173
717;Osório;41161
718;Brejo Santo;41040
719;Jaraguá;41014
720;Itupeva;40972
721;Ipu;40841
722;São Gabriel da Cachoeira;40806
723;São Mateus do Sul;40791
724;Presidente Epitácio;40775
725;Pacajá;40768
726;Caeté;40634
727;Tremembé;40601
728;Bom Jardim;40592
729;Bonito;40578
730;Guajará-Mirim;40541
731;Jacarezinho;40526
732;Morrinhos;40512
733;Ituverava;40485
734;Canela;40449
735;Eusébio;40426
736;Porangatu;40420
737;Entre Rios;40276
738;Pedreira;40269
739;Itápolis;40196
740;Paranaíba;40118
741;Xinguara;40067
742;Jaguariúna;40066
743;Humaitá;40027
744;Queimadas;39956
745;Capão da Canoa;39928
746;Jacareacanga;39892
747;Niquelândia;39720
748;Medianeira;39700
749;Sidrolândia;39636
750;Juína;39582
751;Ribeirão;39548
752;Amontada;39497
753;Quirinópolis;39485
754;São Manuel;39434
755;Altos;39430
756;Águas Belas;39421
757;Remanso;39415
758;Várzea Alegre;39379
759;São Francisco do Sul;39341
760;Santo Antônio da Patrulha;39302
761;Laranjal do Jari;39285
762;Salto de Pirapora;39224
763;Ipueiras;39220
764;São Mateus do Maranhão;39210
765;Dom Eliseu;39161
766;Machado;39109
767;Rosário;39103
768;Boa Esperança;39082
769;Pontes e Lacerda;39071
770;Oliveira;39063
771;São Fidélis;39057
772;Pedreiras;39049
773;Tuntum;39041
774;Mata de São João;38962
775;Serrana;38956
776;Dom Pedrito;38952
777;Vargem Grande do Sul;38925
778;Jeremoabo;38924
779;Rio Pardo;38908
780;Bom Jardim;38813
781;Araioses;38800
782;Curitibanos;38799
783;Augusto Corrêa;38760
784;Salinópolis;38681
785;São Bento;38645
786;Salinas;38628
787;Imbituba;38574
788;Itabaianinha;38565
789;Lábrea;38451
790;Pontal;38409
791;Presidente Venceslau;38368
792;Guaíra;38328
793;Almenara;38269
794;Panambi;38249
795;Simão Dias;38232
796;Sento Sé;38181
797;Cristalina;38125
798;Guaraciaba do Norte;38123
799;Sirinhaém;38122
800;São José de Mipibu;38109
801;Porteirinha;37877
802;Pedro II;37727
803;Rio Real;37675
804;Orlândia;37422
805;Cerquilho;37419
806;Aparecida;37405
807;Araçuaí;37262
808;Esperantina;37231
809;Ouro Preto do Oeste;37142
810;Promissão;36997
811;Canavieiras;36911
812;Itiúba;36890
813;Itaqui;36889
814;Jardinópolis;36872
815;Amarante do Maranhão;36850
816;Vera Cruz;36843
817;Visconde do Rio Branco;36826
818;Colinas;36725
819;Campina Grande do Sul;36644
820;Jaguaribe;36385
821;Nova Cruz;36336
822;Paiçandu;36336
823;Andradas;36320
824;Girau do Ponciano;36250
825;Santa Helena de Goiás;36198
826;José de Freitas;36177
827;Barra Bonita;36176
828;Fraiburgo;36170
829;Arcos;36133
830;São Caitano;36094
831;Inhambupe;36084
832;Oeiras;36082
833;Itambé;36049
834;Nova Viçosa;36032
835;Itarema;35988
836;Parnarama;35972
837;Novo Horizonte;35942
838;Várzea da Palma;35907
839;Marau;35900
840;Agudos;35872
841;Tietê;35821
842;Curuçá;35790
843;Santa Rita do Sapucaí;35724
844;Itapema;35655
845;Apodi;35648
846;Maracás;35617
847;Sertânia;35546
848;Sena Madureira;35544
849;Charqueadas;35507
850;Aliança;35446
851;Dois Vizinhos;35389
852;Afogados da Ingazeira;35314
853;São Luiz Gonzaga;35184
854;Parati;35182
855;Bom Jesus do Itabapoana;35178
856;Juruti;35155
857;Pitanga;35155
858;Itambé;35106
859;Santa Helena (território);35070
860;Pitangueiras;35070
861;Rurópolis;35033
862;Santaluz;35029
863;Ouro Branco;35029
864;Cururupu;35009
865;Morro do Chapéu;35009
866;Igarapé-Açu;35005
867;São Miguel do Oeste;35004
868;Pentecoste;34955
869;Missão Velha;34926
870;Amargosa;34918
871;Catende;34907
872;Uruará;34875
873;Massapê;34874
874;Mucuri;34836
875;Matozinhos;34789
876;Timbó;34777
877;Santa Cruz;34769
878;Bodocó;34712
879;Lajedo;34595
880;Itatiaia;34595
881;Além Paraíba;34527
882;Penalva;34505
883;Amambaí;34501
884;Ulianópolis;34485
885;Palmeira das Missões;34456
886;Uruaçu;34411
887;Adamantina;34366
888;Capelinha;34345
889;Socorro;34312
890;Guariba;34217
891;Pilão Arcado;34144
892;Vassouras;34024
893;Cachoeira Paulista;33999
894;Curaçá;33929
895;Cansanção;33920
896;São José do Belmonte;33916
897;Buritis;33879
898;Iranduba;33834
899;Pimenta Bueno;33803
900;Barra do Bugres;33724
901;Brumadinho;33693
902;Torres;33686
903;Custódia;33537
904;Cachoeira;33495
905;São Domingos do Maranhão;33491
906;Santa Maria de Jetibá;33468
907;Turiaçu;33456
908;Tarauacá;33368
909;Riachão do Jacuípe;33326
910;Porto União;33290
911;Gramado;33257
912;Caçapava do Sul;33235
913;Itamarandiba;33219
914;Castelo;33197
915;Miguel Alves;33104
916;Eldorado do Sul;33098
917;Carangola;33091
918;Bandeirantes;33089
919;Assis Chateaubriand;33077
920;Jaguariaíva;33041
921;Juara;33040
922;Camamu;32981
923;Mandaguari;32976
924;Baturité;32968
925;Igarapé;32967
926;Alto Alegre do Pindaré;32955
927;Igrejinha;32945
928;Santa Cruz das Palmeiras;32861
929;Iturama;32845
930;Bariri;32824
931;Américo Brasiliense;32819
932;Rio Branco do Sul;32815
933;Correntina;32784
934;Coxim;32767
935;Esplanada;32593
936;São Luís do Quitunde;32588
937;Pilar;32546
938;Pombal;32424
939;Barra do Choça;32419
940;Louveira;32406
941;Itaitinga;32382
942;Afuá;32368
943;Ouro Fino;32365
944;Itapemirim;32354
945;Marataízes;32351
946;Espinosa;32349
947;Guaratuba;32315
948;Domingos Martins;32304
949;Palmeira;32282
950;Brasília de Minas;32262
951;Lucas do Rio Verde;32255
952;Piumhi;32253
953;Goiatuba;32220
954;José Bonifácio;32219
955;Machadinho D'Oeste;32214
956;Feijó;32210
957;Ivaiporã;32193
958;Careiro;32190
959;Toritama;32169
960;Borba;32160
961;São Gotardo;32145
962;Jaguaruana;32134
963;Paracuru;32116
964;Petrolândia;32105
965;Itapicuru;32100
966;São Paulo de Olivença;32067
967;Poconé;32059
968;Brejo;32018
969;Iporá;32002
970;Parambu;31983
971;Itaberaí;31965
972;Santa Rita;31940
973;Maracaju;31933
974;São Sebastião;31922
975;Serra do Ramalho;31909
976;Pindaré-Mirim;31879
977;Vitória do Mearim;31851
978;Mangaratiba;31848
979;Carmo do Paranaíba;31843
980;Guarantã do Norte;31801
981;Santa Vitória do Palmar;31789
982;Cícero Dantas;31774
983;Nova Russas;31770
984;Aguaí;31763
985;Jaíba;31758
986;São Raimundo Nonato;31744
987;Colíder;31744
988;Pojuca;31687
989;Minaçu;31647
990;São José do Egito;31601
991;Quedas do Iguaçu;31572
992;Minas Novas;31557
993;Laranjeiras do Sul;31516
994;Afonso Cláudio;31489
995;Almeirim;31475
996;Gandu;31410
997;Guaramirim;31334
998;João Câmara;31332
999;Osvaldo Cruz;31317
1000;São Miguel Arcanjo;31304
1001;Novo Cruzeiro;31264
1002;São Pedro;31257
1003;Exu;31236
1004;Alegre;31222
1005;São Francisco do Conde;31219
1006;Marialva;31171
1007;Camacan;31133
1008;Autazes;31107
1009;Vitorino Freire;31107
1010;São José da Tapera;31032
1011;Taiobeiras;30986
1012;Rio Negro;30985
1013;Soledade;30932
1014;Ubajara;30885
1015;Boca do Acre;30858
1016;Posse;30812
1017;Monteiro;30807
1018;Descalvado;30710
1019;Bela Cruz;30687
1020;Cândido Mota;30662
1021;Cravinhos;30647
1022;Esperança;30629
1023;Lavras da Mangabeira;30612
1024;Água Preta;30606
1025;Irituia;30573
1026;Benjamin Constant;30476
1027;Eirunepé;30473
1028;Nossa Senhora da Glória;30466
1029;Riacho de Santana;30444
1030;São Gonçalo dos Campos;30401
1031;Guanhães;30401
1032;Iguape;30397
1033;Água Azul do Norte;30389
1034;Candelária;30369
1035;Nova Olinda do Norte;30357
1036;São João da Barra;30348
1037;Estrela;30329
1038;Touros;30325
1039;Ruy Barbosa;30316
1040;São Gabriel da Palha;30255
1041;Portão;30254
1042;Canguaretama;30237
1043;Jaguarari;30222
1044;Colinas do Tocantins;30190
1045;Santo Antônio do Içá;30176
1046;Garibaldi;30165
1047;Pinhão;30144
1048;Tanguá;30139
1049;Nazaré da Mata;30122
1050;Muaná;30117
1051;Cabrobó;30113
1052;Santana do Acaraú;30041
1053;Peixoto de Azevedo;29995
1054;São Bento;29992
1055;Carinhanha;29988
1056;Poço Redondo;29879
1057;Casimiro de Abreu;29811
1058;Goioerê;29732
1059;Baixo Guandu;29722
1060;Rio Pardo de Minas;29719
1061;Paratinga;29693
1062;Colniza;29636
1063;João Alfredo;29634
1064;Pompéu;29595
1065;Guaíra;29594
1066;Guararapes;29589
1067;Paraipaba;29503
1068;Paripiranga;29459
1069;Ibaté;29435
1070;Tabuleiro do Norte;29369
1071;Eldorado dos Carajás;29308
1072;Piraju;29282
1073;Maracanã;29269
1074;Santa Quitéria do Maranhão;29215
1075;Biritiba-Mirim;29208
1076;Campos Novos;29199
1077;Ibaiti;29185
1078;Rancharia;29138
1079;Matões;29134
1080;Tijucas;29122
1081;Juquitiba;29090
1082;Iguaí;29070
1083;Itaporanga d'Ajuda;29010
1084;Cajati;28987
1085;Santa Fé do Sul;28966
1086;Braço do Norte;28909
1087;Mãe do Rio;28762
1088;Capela;28756
1089;Palotina;28691
1090;Espigão D'Oeste;28617
1091;Iaçu;28616
1092;Ibimirim;28605
1093;Passira;28598
1094;Arari;28585
1095;Goianésia do Pará;28583
1096;Conceição do Jacuípe;28552
1097;Novo Oriente;28485
1098;Jaguarão;28439
1099;Propriá;28437
1100;Monção;28386
1101;Queimadas;28368
1102;Catolé do Rocha;28320
1103;Imbituva;28295
1104;Frederico Westphalen;28295
1105;Alagoa Grande;28246
1106;Glória do Goitá;28243
1107;Coromandel;28240
1108;Lagoa Vermelha;28230
1109;Solânea;28149
1110;Casa Branca;28083
1111;Pilar do Sul;28058
1112;Igarapava;28038
1113;Rio das Pedras;28036
1114;Quijingue;28001
1115;Vicência;27993
1116;Arame;27967
1117;Macau;27951
1118;São Domingos do Capim;27897
1119;Muritiba;27866
1120;Milagres;27861
1121;Campos Gerais;27853
1122;Miguel Calmon;27850
1123;Floresta;27809
1124;Pires do Rio;27792
1125;Marapanim;27727
1126;Armação dos Búzios;27701
1127;Porto de Moz;27689
1128;Campo Alegre de Lourdes;27686
1129;São Luís de Montes Belos;27684
1130;Barreirinha;27664
1131;Barão de Cocais;27660
1132;Baião;27652
